Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
"Polgar, Judit",HUN,F,1976.0,GM,2675,2646.0,2736.0,wi
"Cmilyte, Viktorija",LTU,F,1983.0,GM,2538,2394.0,2435.0,wi
"Chiburdanidze, Maia",GEO,F,1961.0,GM,2500,2432.0,2437.0,wi
"Kosintseva, Nadezhda",RUS,F,1985.0,GM,2483,2516.0,2519.0,wi
"Kosintseva, Tatiana",RUS,F,1986.0,GM,2475,2496.0,2506.0,wi
"Galliamova, Alisa",RUS,F,1972.0,IM,2438,2356.0,2412.0,wi
"Zhu, Chen",QAT,F,1976.0,GM,2423,2404.0,2378.0,wi
"Paikidze, Nazi",USA,F,1993.0,IM,2374,2402.0,2314.0,wi
"Ziaziulkina, Nastassia",BLR,F,1995.0,IM,2373,2299.0,2271.0,wi
"Aulia, Medina Warda",INA,F,1997.0,IM,2360,2344.0,2199.0,wi
"Vasilevich, Tatjana",UKR,F,1977.0,IM,2360,2193.0,2146.0,wi
"Fierro Baquero, Martha L.",ECU,F,1977.0,IM,2359,2304.0,2214.0,wi
"Batchimeg, Tuvshintugs",MGL,F,1986.0,IM,2356,2311.0,2295.0,wi
"Brustman, Agnieszka",POL,F,1962.0,WGM,2344,2347.0,2279.0,wi
"Lomineishvili, Maia",GEO,F,1977.0,IM,2342,2347.0,2348.0,wi
"Zaiatz, Elena",RUS,F,1969.0,IM,2336,2258.0,2342.0,wi
"Nemcova, Katerina",USA,F,1990.0,WGM,2331,2276.0,2361.0,wi
"Ubiennykh, Ekaterina",RUS,F,1983.0,WIM,2331,2310.0,2322.0,wi
"Dworakowska, Joanna",POL,F,1978.0,IM,2322,2237.0,2228.0,wi
"Videnova, Iva",BUL,F,1987.0,IM,2322,2319.0,2248.0,wi
"Shadrina, Tatiana",RUS,F,1974.0,WGM,2320,2349.0,2340.0,wi
"Rakic, Marija",SRB,F,1990.0,WIM,2319,2272.0,2263.0,wi
"Janjghava, Natia",GEO,F,1972.0,WIM,2306,2205.0,2118.0,wi
"Gurieli, Nino",GEO,F,1961.0,IM,2295,2253.0,2266.0,wi
"Mikhaylova, Irina",RUS,F,1963.0,WGM,2288,2260.0,1985.0,wi
"Sudakova, Irina",RUS,F,1982.0,WGM,2288,2201.0,2235.0,wi
"Uuriintuya, Uurtsaikh",MGL,F,1998.0,WGM,2288,1995.0,1966.0,wi
"Drogovoz, Irina",RUS,F,1999.0,WIM,2287,2256.0,2163.0,wi
"Chistiakova, Tamara",RUS,F,1986.0,WFM,2285,2215.0,2245.0,wi
"Galojan, Lilit",ARM,F,1983.0,IM,2285,2282.0,2275.0,wi
"Malakhova, Elizaveta",UKR,F,1993.0,WGM,2281,2222.0,2142.0,wi
"Bronnikova, Elizaveta",RUS,F,1985.0,WIM,2279,2174.0,2147.0,wi
"Khalafova, Narmin",AZE,F,1994.0,WGM,2279,2031.0,2109.0,wi
"Ivakhinova, Inna",RUS,F,1989.0,WGM,2278,2349.0,2307.0,wi
"Zhuravleva, Olga",RUS,F,1984.0,WIM,2278,2176.0,2119.0,wi
"Popova, Natalija",BLR,F,1976.0,WIM,2276,2171.0,2098.0,wi
"Sharevich, Anna",USA,F,1985.0,WGM,2276,2245.0,2261.0,wi
"Muminova, Nafisa",UZB,F,1990.0,WGM,2274,2325.0,2258.0,wi
"Purtseladze, Maka",GEO,F,1988.0,IM,2274,2229.0,2178.0,wi
"Tqeshelashvili, Sopio",GEO,F,1979.0,WGM,2269,1966.0,1798.0,wi
"Prudnykova, Olga",UKR,F,1994.0,WIM,2268,2200.0,2162.0,wi
"Cheremnova, Tamara",RUS,F,1989.0,WIM,2263,2228.0,2227.0,wi
"Lelekova, Olga",RUS,F,1987.0,WIM,2261,2190.0,2052.0,wi
"Mirzoeva, Elmira",RUS,F,1981.0,WGM,2261,2271.0,2135.0,wi
"Karavaeva, Olga",RUS,F,1977.0,WIM,2260,2190.0,2105.0,wi
"Khurtsilava, Inga",GEO,F,1975.0,WGM,2260,2049.0,2074.0,wi
"Schut, Lisa",NED,F,1994.0,WIM,2259,2383.0,2234.0,wi
"Vasilevich, Irina",RUS,F,1985.0,IM,2258,2176.0,2153.0,wi
"Zozulia, Anna",BEL,F,1980.0,IM,2258,2245.0,2277.0,wi
"Rodriguez Rueda, Paula Andrea",COL,F,1996.0,IM,2257,2312.0,2199.0,wi
"Sihite, Chelsie Monica Ignesias",INA,F,1995.0,WIM,2252,2233.0,2224.0,wi
"Imnadze, Nato",GEO,F,1996.0,WIM,2251,2144.0,2114.0,wi
"Nikolova, Adriana",BUL,F,1988.0,WGM,2247,2276.0,2184.0,wi
"Chekhova-Kostina, Tatiana M",RUS,F,1955.0,WIM,2246,2165.0,2075.0,wi
"Khasanova, Flyura",KAZ,F,1964.0,WGM,2245,2208.0,2233.0,wi
"Molchanova, Tatjana",RUS,F,1980.0,WGM,2245,2161.0,2220.0,wi
"Chumpitaz, Ann",PER,F,1994.0,WIM,2244,2204.0,2168.0,wi
"Minogina, Tamara",RUS,F,1959.0,WIM,2244,2231.0,2138.0,wi
"Mueller-Seps, Monika",SUI,F,1986.0,WGM,2243,2213.0,2198.0,wi
